"","name","country","woeid","new.name","lat","lon"
"1","Albuquerque","United States","2352824","Albuquerque ","35.0841034","-106.6509851"
"2","Atlanta","United States","2357024","Atlanta ","33.7490987","-84.3901849"
"3","Austin","United States","2357536","Austin ","30.2711286","-97.7436995"
"4","Baltimore","United States","2358820","Baltimore ","39.2908608","-76.6108073"
"5","Baton Rouge","United States","2359991","Baton Rouge ","30.4507462","-91.154551"
"6","Birmingham","United States","2364559","Birmingham ","33.5207","-86.8025"
"7","Boston","United States","2367105","Boston ","42.3604823","-71.0595678"
"8","Charlotte","United States","2378426","Charlotte ","35.2270869","-80.8431268"
"9","Chicago","United States","2379574","Chicago ","41.8755546","-87.6244212"
"10","Cincinnati","United States","2380358","Cincinnati ","39.1014537","-84.5124602"
"11","Cleveland","United States","2381475","Cleveland ","41.5051613","-81.6934446"
"12","Colorado Springs","United States","2383489","Colorado Springs ","38.8339578","-104.8253485"
"13","Columbus","United States","2383660","Columbus ","39.9622601","-83.0007065"
"14","Dallas-Ft. Worth","United States","2388929","Dallas-Ft. Worth ","32.8998","-97.0403"
"15","Denver","United States","2391279","Denver ","39.7391536","-104.9847034"
"16","Detroit","United States","2391585","Detroit ","42.3486635","-83.0567375"
"17","El Paso","United States","2397816","El Paso ","31.8111305","-106.5013493"
"18","Fresno","United States","2407517","Fresno ","36.7394421","-119.7848307"
"19","Greensboro","United States","2414469","Greensboro ","36.0726355","-79.7919754"
"20","Harrisburg","United States","2418046","Harrisburg ","40.2663107","-76.8861122"
"21","Honolulu","United States","2423945","Honolulu ","21.3069","-157.8583"
"22","Houston","United States","2424766","Houston ","29.7589382","-95.3676974"
"23","Indianapolis","United States","2427032","Indianapolis ","33.2155935","-86.79777856"
"24","Jackson","United States","2428184","Jackson ","32.2990384","-90.1847691"
"25","Jacksonville","United States","2428344","Jacksonville ","30.3321838","-81.655651"
"26","Kansas City","United States","2430683","Kansas City ","39.0844687","-94.5630298"
"27","Las Vegas","United States","2436704","Las Vegas ","36.1662859","-115.149225"
"28","Long Beach","United States","2441472","Long Beach ","33.7774658","-118.1884871"
"29","Los Angeles","United States","2442047","Los Angeles ","34.053717","-118.2427266"
"30","Louisville","United States","2442327","Louisville ","38.2542376","-85.759407"
"31","Memphis","United States","2449323","Memphis ","35.1490215","-90.0516285"
"32","Mesa","United States","2449808","Mesa ","33.436188","-111.5860661"
"33","Miami","United States","2450022","Miami ","25.7742658","-80.1936589"
"34","Milwaukee","United States","2451822","Milwaukee ","43.0349931","-87.922497"
"35","Minneapolis","United States","2452078","Minneapolis ","44.9772995","-93.2654692"
"36","Nashville","United States","2457170","Nashville ","32.944012","-85.9538532"
"37","New Haven","United States","2458410","New Haven ","41.3082138","-72.9250518"
"38","New Orleans","United States","2458833","New Orleans ","29.9499323","-90.0701156"
"39","New York","United States","2459115","New York ","40.7305991","-73.9865812"
"40","Norfolk","United States","2460389","Norfolk ","36.8508","-76.2859"
"41","Oklahoma City","United States","2464592","Oklahoma City ","35.4729886","-97.5170536"
"42","Omaha","United States","2465512","Omaha ","41.2587317","-95.9378732"
"43","Orlando","United States","2466256","Orlando ","28.5421175","-81.3790462"
"44","Philadelphia","United States","2471217","Philadelphia ","39.952335","-75.163789"
"45","Phoenix","United States","2471390","Phoenix ","33.4467681","-112.0756724"
"46","Pittsburgh","United States","2473224","Pittsburgh ","40.4416941","-79.9900861"
"47","Portland","United States","2475687","Portland ","45.5202471","-122.6741949"
"48","Providence","United States","2477058","Providence ","41.8239891","-71.4128343"
"49","Raleigh","United States","2478307","Raleigh ","35.7804015","-78.6390779"
"50","Richmond","United States","2480894","Richmond ","37.5385087","-77.43428"
"51","Sacramento","United States","2486340","Sacramento ","38.5815719","-121.4943996"
"52","St. Louis","United States","2486982","St. Louis ","38.6272733","-90.1978889"
"53","Salt Lake City","United States","2487610","Salt Lake City ","40.7670126","-111.8904308"
"54","San Antonio","United States","2487796","San Antonio ","29.4246002","-98.4951405"
"55","San Diego","United States","2487889","San Diego ","32.7174209","-117.1627714"
"56","San Francisco","United States","2487956","San Francisco ","37.7792768","-122.4192704"
"57","San Jose","United States","2488042","San Jose ","37.3438502","-121.8831349"
"58","Seattle","United States","2490383","Seattle ","47.6038321","-122.3300624"
"59","Tallahassee","United States","2503713","Tallahassee ","30.4380832","-84.2809332"
"60","Tampa","United States","2503863","Tampa ","27.9477595","-82.458444"
"61","Tucson","United States","2508428","Tucson ","32.2217422","-110.9264759"
"62","Virginia Beach","United States","2512636","Virginia Beach ","36.7953025","-76.05092502"
"63","Washington","United States","2514815","Washington ","38.8949549","-77.0366456"
"64","United States","United States","23424977","United States ",NA,NA
