"","name","pop","lat","lon"
"1","New York ",8287238,40.7305991,-73.9865812
"2","Los Angeles ",3826423,34.053717,-118.2427266
"3","Chicago ",2705627,41.8755546,-87.6244212
"4","Houston ",2129784,29.7589382,-95.3676974
"5","Philadelphia ",1539313,39.952335,-75.163789
"6","Phoenix ",1465114,33.4467681,-112.0756724
"7","San Antonio ",1359174,29.4246002,-98.4951405
"8","San Diego ",1321016,32.7174209,-117.1627714
"9","Dallas ",1219399,32.7761963,-96.7968994
"10","San Jose ",971495,37.3438502,-121.8831349
"11","Austin ",839714,30.2711286,-97.7436995
"12","Jacksonville ",829543,30.3321838,-81.655651
"13","Indianapolis  ",827346,39.7683331,-86.1583502
"14","San Francisco ",816239,37.7792768,-122.4192704
"15","Columbus ",799270,39.9622601,-83.0007065
"16","Fort Worth ",761895,32.753177,-97.3327459
"17","Charlotte ",756204,35.2270869,-80.8431268
"18","Detroit ",702149,42.3486635,-83.0567375
"19","El Paso ",665503,31.8111305,-106.5013493
"20","Memphis ",655975,35.1490215,-90.0516285
"21","Boston ",630645,42.3604823,-71.0595678
"22","Seattle ",622175,47.6038321,-122.3300624
"23","Baltimore ",620889,39.2908608,-76.6108073
"24","Washington ",620427,38.8949549,-77.0366456
"25","Denver ",619390,39.7391536,-104.9847034
"26","Nashville-Davidson   ",612243,36.187025,-86.78086153
"27","Louisville/Jefferson County   ",601709,38.209237,-85.7038502
"28","Milwaukee ",597435,43.0349931,-87.922497
"29","Portland ",593859,45.5202471,-122.6741949
"30","Oklahoma City ",589896,35.4729886,-97.5170536
"31","Las Vegas ",588257,36.1662859,-115.149225
"32","Albuquerque ",551813,35.0841034,-106.6509851
"33","Tucson ",524192,32.2217422,-110.9264759
"34","Fresno ",501357,36.7394421,-119.7848307
"35","Sacramento ",471625,38.5815719,-121.4943996
"36","Long Beach ",465825,33.7774658,-118.1884871
"37","Kansas City ",462035,39.0844687,-94.5630298
"38","Mesa ",444954,33.436188,-111.5860661
"39","Virginia Beach ",442984,36.7953025,-76.05092502
"40","Atlanta ",432135,33.7490987,-84.3901849
"41","Omaha ",429604,41.2587317,-95.9378732
"42","Colorado Springs ",427416,38.8339578,-104.8253485
"43","Raleigh ",414135,35.7804015,-78.6390779
"44","Miami ",412438,25.7742658,-80.1936589
"45","Oakland ",396649,37.8044557,-122.2713563
"46","Tulsa ",392751,36.1556805,-95.9929113
"47","Cleveland ",392505,41.5051613,-81.6934446
